date,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,symbol
2025-05-30,2002.73,1993.19,2004.5,1988.19,192070841,321041246329.48,0.81,-0.96,-19.36,3.54,399006.SZ
2025-06-03,1986.54,2002.7,2012.24,1985.57,185115747,307126792870.47,1.34,0.48,9.51,3.41,399006.SZ
2025-06-04,2009.37,2024.93,2030.92,2009.37,185041493,319493747439.18,1.08,1.11,22.23,3.41,399006.SZ
2025-06-05,2026.63,2048.62,2053.56,2014.44,208483808,370015876182.19,1.93,1.17,23.69,3.84,399006.SZ
2025-06-06,2047.87,2039.44,2051.91,2034.1,178108991,322931592458.63,0.87,-0.45,-9.18,3.28,399006.SZ
2025-06-09,2046.43,2061.29,2075.58,2045.64,202827466,368246986273.2,1.47,1.07,21.85,3.73,399006.SZ
2025-06-10,2057.97,2037.27,2063.87,2023.17,237687808,411801077262.33,1.97,-1.17,-24.02,4.38,399006.SZ
2025-06-11,2044.28,2061.87,2076.91,2044.28,208455831,360485163147.4,1.6,1.21,24.6,3.84,399006.SZ
2025-06-12,2057.2,2067.15,2076.84,2051.24,214021326,378571827628.61,1.24,0.26,5.28,3.94,399006.SZ
2025-06-13,2054.97,2043.82,2065.87,2036.96,241780969,410506201042.24,1.4,-1.13,-23.33,4.45,399006.SZ
2025-06-16,2038.7,2057.32,2062.42,2038.7,203702624,357646686528.36,1.16,0.66,13.5,3.75,399006.SZ
2025-06-17,2061.47,2049.94,2063.08,2045.05,216853533,372991717138.93,0.88,-0.36,-7.38,3.99,399006.SZ
2025-06-18,2046.69,2054.73,2059.38,2039.25,211304448,371847691875.22,0.98,0.23,4.79,3.89,399006.SZ
2025-06-19,2049.18,2026.82,2057.77,2021.18,221788483,386860748295.18,1.78,-1.36,-27.91,4.08,399006.SZ
2025-06-20,2026.88,2009.89,2036.02,2007.51,190308016,326385566258.08,1.41,-0.84,-16.93,3.5,399006.SZ
2025-06-23,1996.96,2017.63,2021.76,1996.96,200250341,340328387698.13,1.23,0.39,7.74,3.69,399006.SZ
2025-06-24,2024.7,2064.13,2065.84,2024.7,247840301,441660056238.75,2.04,2.3,46.5,4.56,399006.SZ
2025-06-25,2073.26,2128.39,2133.03,2072.87,267537197,518421004525.53,2.91,3.11,64.26,4.93,399006.SZ
2025-06-26,2128.86,2114.43,2142.21,2113.14,269411209,510182488176.29,1.37,-0.66,-13.96,4.96,399006.SZ
2025-06-27,2125.85,2124.34,2146.04,2112.75,242281223,464562098189.67,1.57,0.47,9.91,4.46,399006.SZ
2025-06-30,2132.93,2153.01,2154.0,2128.78,239110135,462156973601.54,1.19,1.35,28.67,4.4,399006.SZ
2025-07-01,2149.22,2147.92,2152.92,2134.57,248855791,444496413718.11,0.85,-0.24,-5.09,4.58,399006.SZ
2025-07-02,2140.14,2123.72,2140.14,2118.55,234471208,393785126919.15,1.01,-1.13,-24.2,4.32,399006.SZ
2025-07-03,2130.74,2164.09,2168.61,2130.74,219509975,382005613121.56,1.78,1.9,40.37,4.04,399006.SZ
2025-07-04,2168.35,2156.23,2187.88,2153.62,232373615,420453534088.53,1.58,-0.36,-7.86,4.28,399006.SZ
2025-07-07,2148.93,2130.19,2155.69,2126.32,188950354,346511386676.02,1.36,-1.21,-26.04,3.48,399006.SZ
2025-07-08,2129.49,2181.08,2183.06,2129.49,228401520,436543561640.74,2.51,2.39,50.89,4.21,399006.SZ
